address,price,beds,bath,size,place
1866 20th Ave,"$294,900",1 Bed,1 Bath,964 Sq. Ft.,"Arkdale, WI, 54613"
1639 Pine St,"$89,500",2 Beds,1 Bath,924 Sq. Ft.,"Arkdale, WI, 54613"
6 Ac County Road Z,"$199,900",6 Acres,,,"Arkdale, WI, 54613"
1827 E County Road Z,"$98,900",9 Acres,,,"Arkdale, WI, 54613"
1644 20th Ave,"$475,000",3 Beds,2 Baths,"2,184 Sq. Ft.","Arkdale, WI, 54613"
2054 Cumberland Ave,"$179,000",4 Beds,1 Bath,"1,744 Sq. Ft.","Arkdale, WI, 54613"
1841 20th Ct,"$359,000",3 Beds,2 Baths,"1,689 Sq. Ft.","Arkdale, WI, 54613"
2011-4 S Czech Crossing 3004,"$359,900",4 Beds,2 Baths,"2,238 Sq. Ft.","Arkdale, WI, 54613"
2009-7 S Czech Ct 0907,"$359,000",3 Beds,2 Baths,"2,132 Sq. Ft.","Arkdale, WI, 54613"
1988 Cumberland Dr,"$139,900",1 Bed,1 Bath,580 Sq. Ft.,"Arkdale, WI, 54613"
Lot 25 19th Pass,"$119,900",1 Acres,,,"Arkdale, WI, 54613"
Lot 169 19th Crossing,"$29,900",1 Acres,,,"Arkdale, WI, 54613"
1769 N Badger Dr,"$109,900",0.83 Acres,,,"Arkdale, WI, 54613"
1959 N Cypress Ln,"$165,000",2 Beds,1 Bath,960 Sq. Ft.,"Arkdale, WI, 54613"
1683 Browndeer Ave,"$330,000",3 Beds,2 Baths,"2,000 Sq. Ft.","Arkdale, WI, 54613"
1844-7 E 20th Ct 2507,"$350,000",3 Beds,2 Baths,"2,132 Sq. Ft.","Arkdale, WI, 54613"
L73 Badger Ct,"$95,000",0 Acres,,,"Arkdale, WI, 54613"
734 & 736 W 17th Dr,"$159,000",3 Beds,2 Baths,"1,026 Sq. Ft.","Arkdale, WI, 54613"
1952 Hwy 21,"$85,000",2 Beds,2 Baths,"1,344 Sq. Ft.","Arkdale, WI, 54613"
L7 Badger Ct,"$35,900",1.08 Acres,,,"Arkdale, WI, 54613"
L4 S Badger Ct,"$33,900",1.72 Acres,,,"Arkdale, WI, 54613"
Lot 1 Cottonville Dr & 20th Ave,"$29,900",5 Acres,,,"Arkdale, WI, 54613"
1114 W 15th Ave,"$234,900",2 Beds,2 Baths,"1,344 Sq. Ft.","Arkdale, WI, 54613"
1951 Cypress Ln,"$129,900",2 Beds,1 Bath,936 Sq. Ft.,"Arkdale, WI, 54613"
L17 W 17th Ln,"$50,000",1 Acres,,,"Arkdale, WI, 54613"
722 W 17th Drive,"$99,000",2 Beds,1 Bath,787 Sq. Ft.,"Arkdale, WI, 54613"
761 18th Ave,"$480,000",4 Beds,3 Baths,"2,396 Sq. Ft.","Arkdale, WI, 54613"
L31 S Badger Ct,"$28,750",1.58 Acres,,,"Arkdale, WI, 54613"
L40 18th Ave,"$22,500",1.56 Acres,,,"Arkdale, WI, 54613"
1603 North Shore Dr,"$60,000",0.5 Acres,,,"Arkdale, WI, 54613"
1501 Browndeer Ave,"$52,500",3.07 Acres,,,"Arkdale, WI, 54613"
L9 W 19th Ln,"$19,000",0.47 Acres,,,"Arkdale, WI, 54613"
891 County Road Z,"$2,950,000",79.48 Acres,,,"Arkdale, WI, 54613"
1994 Cumberland Dr,"$24,900",0.92 Acres,,,"Arkdale, WI, 54613"
L14 W 19th Ln,"$571,100",4 Beds,3 Baths,"2,299 Sq. Ft.","Arkdale, WI, 54613"
L24 S Czech Ct,"$343,200",3 Beds,2 Baths,"1,288 Sq. Ft.","Arkdale, WI, 54613"
3 Lots Northern Bay,"$55,000",1.49 Acres,,,"Arkdale, WI, 54613"
Lot 16 S Cree Ln,"$29,900",2.35 Acres,,,"Arkdale, WI, 54613"
L17 W 16th Ct,"$31,700",2.98 Acres,,,"Arkdale, WI, 54613"
Lot 29 19th Pass,"$189,900",1.12 Acres,,,"Arkdale, WI, 54613"
L26 19th Pass,"$119,900",1.18 Acres,,,"Arkdale, WI, 54613"
1866 20th Ave,"$294,900",1 Bed,1 Bath,964 Sq. Ft.,"Arkdale, WI, 54613"
1639 Pine St,"$89,500",2 Beds,1 Bath,924 Sq. Ft.,"Arkdale, WI, 54613"
6 Ac County Road Z,"$199,900",6 Acres,,,"Arkdale, WI, 54613"
1827 E County Road Z,"$98,900",9 Acres,,,"Arkdale, WI, 54613"
1644 20th Ave,"$475,000",3 Beds,2 Baths,"2,184 Sq. Ft.","Arkdale, WI, 54613"
2054 Cumberland Ave,"$179,000",4 Beds,1 Bath,"1,744 Sq. Ft.","Arkdale, WI, 54613"
1841 20th Ct,"$359,000",3 Beds,2 Baths,"1,689 Sq. Ft.","Arkdale, WI, 54613"
2011-4 S Czech Crossing 3004,"$359,900",4 Beds,2 Baths,"2,238 Sq. Ft.","Arkdale, WI, 54613"
2009-7 S Czech Ct 0907,"$359,000",3 Beds,2 Baths,"2,132 Sq. Ft.","Arkdale, WI, 54613"
1988 Cumberland Dr,"$139,900",1 Bed,1 Bath,580 Sq. Ft.,"Arkdale, WI, 54613"
Lot 25 19th Pass,"$119,900",1 Acres,,,"Arkdale, WI, 54613"
Lot 169 19th Crossing,"$29,900",1 Acres,,,"Arkdale, WI, 54613"
1769 N Badger Dr,"$109,900",0.83 Acres,,,"Arkdale, WI, 54613"
1959 N Cypress Ln,"$165,000",2 Beds,1 Bath,960 Sq. Ft.,"Arkdale, WI, 54613"
1683 Browndeer Ave,"$330,000",3 Beds,2 Baths,"2,000 Sq. Ft.","Arkdale, WI, 54613"
1844-7 E 20th Ct 2507,"$350,000",3 Beds,2 Baths,"2,132 Sq. Ft.","Arkdale, WI, 54613"
L73 Badger Ct,"$95,000",0 Acres,,,"Arkdale, WI, 54613"
734 & 736 W 17th Dr,"$159,000",3 Beds,2 Baths,"1,026 Sq. Ft.","Arkdale, WI, 54613"
1952 Hwy 21,"$85,000",2 Beds,2 Baths,"1,344 Sq. Ft.","Arkdale, WI, 54613"
16th Dr,"$68,900",3.12 Acres,,,"Adams, WI, 53910"
1382 Edgewood Dr,"$149,900",4 Beds,2 Baths,"2,052 Sq. Ft.","Adams, WI, 53910"
2848 Hwy 13,"$174,900",2 Beds,1 Bath,"2,104 Sq. Ft.","Adams, WI, 53910"
