address,price_$,beds,bath,place,size_sq.ft
1866 20th Ave,294900,1.0,1.0,"Arkdale, WI, 54613",964.0
1639 Pine St,89500,2.0,1.0,"Arkdale, WI, 54613",924.0
6 Ac County Road Z,199900,6.0,,"Arkdale, WI, 54613",
1827 E County Road Z,98900,9.0,,"Arkdale, WI, 54613",
1644 20th Ave,475000,3.0,2.0,"Arkdale, WI, 54613",2184.0
2054 Cumberland Ave,179000,4.0,1.0,"Arkdale, WI, 54613",1744.0
1841 20th Ct,359000,3.0,2.0,"Arkdale, WI, 54613",1689.0
2011-4 S Czech Crossing 3004,359900,4.0,2.0,"Arkdale, WI, 54613",2238.0
2009-7 S Czech Ct 0907,359000,3.0,2.0,"Arkdale, WI, 54613",2132.0
1988 Cumberland Dr,139900,1.0,1.0,"Arkdale, WI, 54613",580.0
Lot 25 19th Pass,119900,1.0,,"Arkdale, WI, 54613",
Lot 169 19th Crossing,29900,1.0,,"Arkdale, WI, 54613",
1769 N Badger Dr,109900,0.83,,"Arkdale, WI, 54613",
1959 N Cypress Ln,165000,2.0,1.0,"Arkdale, WI, 54613",960.0
1683 Browndeer Ave,330000,3.0,2.0,"Arkdale, WI, 54613",2000.0
1844-7 E 20th Ct 2507,350000,3.0,2.0,"Arkdale, WI, 54613",2132.0
L73 Badger Ct,95000,0.0,,"Arkdale, WI, 54613",
734 & 736 W 17th Dr,159000,3.0,2.0,"Arkdale, WI, 54613",1026.0
1952 Hwy 21,85000,2.0,2.0,"Arkdale, WI, 54613",1344.0
L7 Badger Ct,35900,1.08,,"Arkdale, WI, 54613",
L4 S Badger Ct,33900,1.72,,"Arkdale, WI, 54613",
Lot 1 Cottonville Dr & 20th Ave,29900,5.0,,"Arkdale, WI, 54613",
1114 W 15th Ave,234900,2.0,2.0,"Arkdale, WI, 54613",1344.0
1951 Cypress Ln,129900,2.0,1.0,"Arkdale, WI, 54613",936.0
L17 W 17th Ln,50000,1.0,,"Arkdale, WI, 54613",
722 W 17th Drive,99000,2.0,1.0,"Arkdale, WI, 54613",787.0
761 18th Ave,480000,4.0,3.0,"Arkdale, WI, 54613",2396.0
L31 S Badger Ct,28750,1.58,,"Arkdale, WI, 54613",
L40 18th Ave,22500,1.56,,"Arkdale, WI, 54613",
1603 North Shore Dr,60000,0.5,,"Arkdale, WI, 54613",
1501 Browndeer Ave,52500,3.07,,"Arkdale, WI, 54613",
L9 W 19th Ln,19000,0.47,,"Arkdale, WI, 54613",
891 County Road Z,2950000,79.48,,"Arkdale, WI, 54613",
1994 Cumberland Dr,24900,0.92,,"Arkdale, WI, 54613",
L14 W 19th Ln,571100,4.0,3.0,"Arkdale, WI, 54613",2299.0
L24 S Czech Ct,343200,3.0,2.0,"Arkdale, WI, 54613",1288.0
3 Lots Northern Bay,55000,1.49,,"Arkdale, WI, 54613",
Lot 16 S Cree Ln,29900,2.35,,"Arkdale, WI, 54613",
L17 W 16th Ct,31700,2.98,,"Arkdale, WI, 54613",
Lot 29 19th Pass,189900,1.12,,"Arkdale, WI, 54613",
L26 19th Pass,119900,1.18,,"Arkdale, WI, 54613",
1866 20th Ave,294900,1.0,1.0,"Arkdale, WI, 54613",964.0
1639 Pine St,89500,2.0,1.0,"Arkdale, WI, 54613",924.0
6 Ac County Road Z,199900,6.0,,"Arkdale, WI, 54613",
1827 E County Road Z,98900,9.0,,"Arkdale, WI, 54613",
1644 20th Ave,475000,3.0,2.0,"Arkdale, WI, 54613",2184.0
2054 Cumberland Ave,179000,4.0,1.0,"Arkdale, WI, 54613",1744.0
1841 20th Ct,359000,3.0,2.0,"Arkdale, WI, 54613",1689.0
2011-4 S Czech Crossing 3004,359900,4.0,2.0,"Arkdale, WI, 54613",2238.0
2009-7 S Czech Ct 0907,359000,3.0,2.0,"Arkdale, WI, 54613",2132.0
1988 Cumberland Dr,139900,1.0,1.0,"Arkdale, WI, 54613",580.0
Lot 25 19th Pass,119900,1.0,,"Arkdale, WI, 54613",
Lot 169 19th Crossing,29900,1.0,,"Arkdale, WI, 54613",
1769 N Badger Dr,109900,0.83,,"Arkdale, WI, 54613",
1959 N Cypress Ln,165000,2.0,1.0,"Arkdale, WI, 54613",960.0
1683 Browndeer Ave,330000,3.0,2.0,"Arkdale, WI, 54613",2000.0
1844-7 E 20th Ct 2507,350000,3.0,2.0,"Arkdale, WI, 54613",2132.0
L73 Badger Ct,95000,0.0,,"Arkdale, WI, 54613",
734 & 736 W 17th Dr,159000,3.0,2.0,"Arkdale, WI, 54613",1026.0
1952 Hwy 21,85000,2.0,2.0,"Arkdale, WI, 54613",1344.0
16th Dr,68900,3.12,,"Adams, WI, 53910",
1382 Edgewood Dr,149900,4.0,2.0,"Adams, WI, 53910",2052.0
2848 Hwy 13,174900,2.0,1.0,"Adams, WI, 53910",2104.0
974 County Road E,139900,3.0,1.0,"Adams, WI, 53910",1258.0
209 N Pine St,64900,2.0,1.0,"Adams, WI, 53910",576.0
333 S Walker St,229900,4.0,2.0,"Adams, WI, 53910",3283.0
2731 9th Dr,499900,3.0,2.0,"Adams, WI, 53910",2128.0
332 S Pierce St,199900,3.0,1.0,"Adams, WI, 53910",1276.0
1199 Fawn Dr,64900,1.0,,"Adams, WI, 53936",
N7160 Waters Edge Rd,99500,1.84,,"Adams, WI, 54615",
2285 11th Ave,469900,2.0,2.0,"Adams, WI, 53910",1400.0
